# Shogi Edge — 直接対戦データ(藤井聡太のタイトル戦・番勝負)
# 出典: ja.wikipedia.org/wiki/藤井聡太 (2026-05-22 取得)
# 列順: match_date, player_a_name, player_b_name, tournament, opening, winner_name, kifu_url
# 戦型(opening) と 棋譜URL(kifu_url) は Wikipedia 一覧に記載がないため空欄
# 第XX期 のような期番号は記事間で揺れがあるため、棋戦名のみ採用
# 持将棋(引分)の場合は winner_name 空欄
2020-06-08,藤井聡太,渡辺明,棋聖戦,,藤井聡太,
2020-06-28,藤井聡太,渡辺明,棋聖戦,,藤井聡太,
2020-07-02,藤井聡太,木村一基,王位戦,,藤井聡太,
2020-07-09,藤井聡太,渡辺明,棋聖戦,,渡辺明,
2020-07-14,藤井聡太,木村一基,王位戦,,藤井聡太,
2020-07-16,藤井聡太,渡辺明,棋聖戦,,藤井聡太,
2020-08-05,藤井聡太,木村一基,王位戦,,藤井聡太,
2020-08-20,藤井聡太,木村一基,王位戦,,藤井聡太,
2021-06-06,藤井聡太,渡辺明,棋聖戦,,藤井聡太,
2021-06-18,藤井聡太,渡辺明,棋聖戦,,藤井聡太,
2021-06-30,藤井聡太,豊島将之,王位戦,,豊島将之,
2021-07-03,藤井聡太,渡辺明,棋聖戦,,藤井聡太,
2021-07-14,藤井聡太,豊島将之,王位戦,,藤井聡太,
2021-07-22,藤井聡太,豊島将之,王位戦,,藤井聡太,
2021-07-25,藤井聡太,豊島将之,叡王戦,,藤井聡太,
2021-08-03,藤井聡太,豊島将之,叡王戦,,豊島将之,
2021-08-09,藤井聡太,豊島将之,叡王戦,,藤井聡太,
2021-08-19,藤井聡太,豊島将之,王位戦,,藤井聡太,
2021-08-22,藤井聡太,豊島将之,叡王戦,,豊島将之,
2021-08-25,藤井聡太,豊島将之,王位戦,,藤井聡太,
2021-09-13,藤井聡太,豊島将之,叡王戦,,藤井聡太,
2021-10-09,藤井聡太,豊島将之,竜王戦,,藤井聡太,
2021-10-23,藤井聡太,豊島将之,竜王戦,,藤井聡太,
2021-10-31,藤井聡太,豊島将之,竜王戦,,藤井聡太,
